id,ancestry,count_children,name,description,unit,created_at,key
209,,3,Sensirion SFA30,Formaldehyde electrochemical sensor,,2023-05-30 11:51:02.871029,
213,,3,AMS AS7731,3 channel spectral UV-A/B/C sensor,,2023-07-14 16:34:12.947438,
214,213,0,AMS AS7731 - UVA,AMS AS7731 UVA Channel,uW/cm2,2023-07-14 16:33:21.304504,uv_a
215,213,0,AMS AS7731 - UVB,AMS AS7731 UVB Channel,uW/cm2,2023-07-14 16:33:21.320123,uv_b
216,213,0,AMS AS7731 - UVC,AMS AS7731 UVC Channel,uW/cm2,2023-07-14 16:33:21.328074,uv_c
217,52,0,TDK ICS43432 - Noise C,C-Scale RMS from I2S Digital Mems Microphone with custom Audio Processing Algorithm,dBC,2023-07-14 16:45:26.938851,noise_c
218,52,0,TDK ICS43432 - Noise Z,Z-Scale RMS from I2S Digital Mems Microphone with custom Audio Processing Algorithm,dBZ,2023-07-14 16:45:37.793749,noise_z
219,57,0,NXP MPL3115A2 - Altitude,Altitude from digital barometric pressure sensor,m,2023-07-14 16:53:03.159593,mpl_alt
222,,0,Battery Voltage,Battery voltage,V,2023-07-14 17:08:28.702493,batt_volt
223,,2,Sensirion SHT35,Digital relative humidity and air temperature sensor,,2023-07-14 17:12:58.415308,
224,223,0,Sensirion SHT35 - Temperature,Temperature from digital relative humidity and air temperature sensor,ºC,2023-07-14 17:14:02.042413,sht35_t
225,223,0,Sensirion SHT35 - Humidity,Humidity from digital relative humidity and air temperature sensor,%,2023-07-14 17:14:38.432689,sht35_h
226,,1,ST LPS33,Digital Barometric Pressure Sensor,,2023-07-24 16:39:27.885491,
227,226,0,ST LPS33 - Barometric Pressure,Digital Barometric Pressure Sensor,kPa,2023-07-24 16:41:36.559386,lps_p
,,,,,,,
,,,,,,,
